iter	Passed	Remaining
0	4	483
1	9	468
2	13	446
3	16	394
4	19	379
5	23	368
6	26	354
7	29	343
8	33	336
9	36	325
10	38	315
11	41	306
12	44	298
13	47	291
14	51	294
15	55	292
16	58	288
17	62	282
18	65	281
19	68	275
20	71	269
21	74	264
22	77	259
23	80	254
24	83	249
25	86	244
26	88	239
27	92	237
28	95	233
29	98	228
30	101	224
31	103	220
32	107	218
33	111	215
34	114	211
35	116	207
36	134	228
37	137	223
38	140	219
39	142	214
40	145	209
41	146	202
42	149	198
43	152	194
44	155	189
45	158	185
46	160	181
47	165	178
48	168	174
49	171	171
50	173	166
51	177	163
52	180	159
53	183	156
54	185	151
55	187	147
56	190	143
57	193	140
58	196	136
59	199	133
60	202	129
61	206	126
62	209	122
63	212	119
64	215	115
65	218	112
66	221	109
67	224	105
68	226	101
69	228	97
70	230	94
71	232	90
72	234	86
73	236	82
74	237	79
75	239	75
76	240	71
77	242	68
78	244	64
79	245	61
80	247	58
81	248	54
82	250	51
83	251	47
84	253	44
85	255	41
86	256	38
87	258	35
88	259	32
89	261	29
90	262	26
91	264	22
92	265	20
93	267	17
94	268	14
95	270	11
96	271	8
97	272	5
98	274	2
99	275	0
